""	"Theta"	"DeltaD"	"DeltaS"	"Lambda"	"Rho"	"LogLik"	Sample
"15%"	0.0359736148159311	0.0394640000887073	6.74998752057947e-08	0.0841162536366696	0.407472224192714	59649.9759187307	507264
"17.5%"	0.0359743349582107	0.0394672572359192	7.93023322568413e-08	0.0841401661116472	0.407487108897817	59650.1998352053	507264
"20%"	0.0359750455866579	0.0394702529915227	8.60751236326201e-08	0.084164576094381	0.407497842016362	59650.3856222564	507264
"22.5%"	0.0359756477815107	0.039472805539782	9.51369782610468e-08	0.0841955428471	0.407508050261717	59650.569774447	507264
"25%"	0.0359762721483597	0.0394748909656289	1.11666678965084e-07	0.0842149600442802	0.407518252681193	59650.7413388714	507264
"27.5%"	0.0359767522641629	0.0394772993868784	1.25623723186198e-07	0.0842351981649075	0.407526430437554	59650.8957989231	507264
"30%"	0.0359772389915082	0.0394792499801053	1.39954396177649e-07	0.0842563317450609	0.407536104201395	59651.0480546737	507264
"32.5%"	0.0359777031012843	0.039481377947736	1.53884981087271e-07	0.0842750074910512	0.407544718513724	59651.1881606333	507264
"35%"	0.0359782616985658	0.0394835058499663	1.77321691280671e-07	0.0842947962228634	0.407551972032991	59651.3211397789	507264
"37.5%"	0.0359788372230655	0.039485444513505	1.91156881598102e-07	0.0843144038495733	0.407559077652387	59651.4457374322	507264
"40%"	0.035979306000332	0.0394877755113324	2.07791359369126e-07	0.0843309835753514	0.407566027485989	59651.5603887532	507264
"42.5%"	0.0359798347947917	0.0394894720703971	2.21916255799824e-07	0.0843453212616559	0.407573372548766	59651.6705845874	507264
"45%"	0.0359802421321186	0.0394911665872461	2.35859650206266e-07	0.0843650654794922	0.407580861240275	59651.7748934487	507264
"47.5%"	0.0359806793987839	0.039492812564103	2.53423718249884e-07	0.0843851529243479	0.407589026161817	59651.8714979803	507264
"50%"	0.0359811300943582	0.0394950634440683	2.73773942841429e-07	0.0844059045565383	0.407595961691715	59651.9739600862	507264
"52.5%"	0.0359816072655104	0.0394972350200252	2.93685560082453e-07	0.0844249350425497	0.40760202903771	59652.066100996	507264
"55%"	0.0359820644703197	0.0394991732652262	3.12753233825881e-07	0.0844412977696573	0.407609358220881	59652.1594998464	507264
"57.5%"	0.0359825489946474	0.03950104319002	3.25845945790474e-07	0.084457901761651	0.40761679051931	59652.2471649088	507264
"60%"	0.0359830136589829	0.0395031330562452	3.37336063172444e-07	0.0844718607646128	0.407623703271779	59652.3374047566	507264
"62.5%"	0.0359835385405948	0.03950504229642	3.56720837026674e-07	0.0844894186902095	0.40763118844388	59652.4374695309	507264
